2017-09-16,10:30:00,Green,Wakefield Wanderers 1 Ladies,Thirsk 2 Ladies
2017-09-23,10:30:00,Green,Wakefield Wanderers 1 Ladies,Sheffield University Bankers 2 Ladies
2017-09-23,12:00:00,Blue,Wakefield 1 Ladies,Timperly
2017-09-23,13:30:00,Blue,Wakefield 2 Ladies,Neston Ladies 1s
2017-09-23,15:00:00,Green,Wakefield 2 Mens,Sheffield University Bankers Men's 2s Mens
2017-09-23,12:00:00,Green,Wakefield 3 Mens,City of York 4 Mens
2017-09-23,15:00:00,Blue,Wakefield 4 Ladies,Halifax 3 Ladies
2017-09-23,13:30:00,Green,Wakefield 5 Mens,Wakefield 6 Mens
2017-09-23,16:30:00,Blue,Wakefield 8 Mens Development,Brigg 5 Mens Development
2017-09-30,12:00:00,Blue,Wakefield 2 Ladies,Doncaster Ladies' 1s
2017-09-30,15:00:00,Blue,Wakefield 2 Mens,Sheffield Hallam Men's 2s Mens
2017-09-30,15:00:00,Green,Wakefield 3 Ladies,University of Leeds 3 Ladies
2017-09-30,13:30:00,Green,Wakefield 4 Mens,Boston Spa 2 Mens
2017-09-30,13:30:00,Blue,Wakefield 5 Ladies,University of Leeds 7 Ladies
2017-09-30,12:00:00,Green,Wakefield 5 Mens,Leodis Leeds 1 Mens
2017-09-30,16:30:00,Green,Wakefield 7 Mens,Sheffield University Bankers 7 Mens
2017-09-30,16:30:00,Blue,Wakefield 8 Mens Development,Rotherham 4 Mens Development
2017-10-07,10:30:00,Green,Wakefield Wanderers 1 Ladies,Harrogate 3 Ladies
2017-10-07,12:00:00,Blue,Wakefield 1 Ladies,Sutton Coldfield
2017-10-07,15:00:00,Blue,Wakefield 1 Mens,Didsbury Northern Men's 1s Mens
2017-10-07,15:00:00,Green,Wakefield 3 Mens,Lindum 3 Mens
2017-10-07,13:30:00,Green,Wakefield 4 Ladies,University of Leeds 4 Ladies
2017-10-07,13:30:00,Blue,Wakefield 5 Ladies,University of Leeds 8 Ladies
2017-10-07,12:00:00,Green,Wakefield 6 Mens,Lindum 5 Mens
2017-10-14,12:00:00,Blue,Wakefield 2 Ladies,University of Leeds Women's 1sts Ladies
2017-10-14,15:00:00,Blue,Wakefield 2 Mens,Driffield Men's 1s Mens
2017-10-14,15:00:00,Green,Wakefield 3 Ladies,Harrogate 2 Ladies
2017-10-14,13:30:00,Green,Wakefield 4 Mens,Halifax 3 Mens
2017-10-14,13:30:00,Blue,Wakefield 5 Mens,Doncaster 6 Mens
2017-10-14,12:00:00,Green,Wakefield 7 Mens,Huddersfield Dragons 4 Mens
2017-10-14,16:30:00,Green,Wakefield 8 Mens Development,Worksop 3 Mens Development
2017-10-21,12:00:00,Blue,Wakefield 1 Ladies,Ben Rhydding
2017-10-21,15:00:00,Blue,Wakefield 1 Mens,Oxton Men's 1s Mens
2017-10-21,15:00:00,Green,Wakefield 3 Mens,Sheffield Hallam 4 Mens
2017-10-21,13:30:00,Green,Wakefield 4 Ladies,Canalside Terriers 1 Ladies
2017-10-21,13:30:00,Blue,Wakefield 5 Ladies,Sheffield Hallam 4 Ladies
2017-10-21,12:00:00,Green,Wakefield 6 Mens,University of Leeds 2 Mens
2017-10-21,16:30:00,Blue,Wakefield 7 Mens,Leeds Adel 5 Mens
2017-10-28,12:00:00,Blue,Wakefield 2 Ladies,Sheffield Hallam Ladies 1s
2017-10-28,15:00:00,Blue,Wakefield 2 Mens,Brigg Men's 1s Mens
2017-10-28,15:00:00,Green,Wakefield 3 Ladies,Leeds Adel 2 Ladies
2017-10-28,13:30:00,Green,Wakefield 4 Mens,Leeds Adel 3 Mens
2017-10-28,13:30:00,Blue,Wakefield 5 Mens,Leeds 8 Mens
2017-10-28,12:00:00,Green,Wakefield 8 Mens Development,Kingston-upon-Hull 4 Mens Development
2017-11-04,12:00:00,Blue,Wakefield 1 Ladies,Loughborough
2017-11-04,15:00:00,Blue,Wakefield 1 Mens,Brooklands MU Men's 2s Mens
