2018-01-27,Wakefield 4 Ladies,Kingston-upon-Hull 3 Ladies
2018-02-10,Wakefield 4 Ladies,Lindum 3 Ladies
2018-02-24,Wakefield 4 Ladies,Ben Rhydding 4 Ladies
2018-03-10,Wakefield 4 Ladies,Pudsey 1 Ladies
2017-09-30,Wakefield 4 Mens,Boston Spa 2 Mens
2017-10-14,Wakefield 4 Mens,Halifax 3 Mens
2017-10-28,Wakefield 4 Mens,Leeds Adel 3 Mens
2017-11-04,Wakefield 4 Mens,Airedale 2 Mens
2017-11-18,Wakefield 4 Mens,City of York 6 Mens
2017-12-09,Wakefield 4 Mens,Ben Rhydding 4 Mens
2018-01-20,Wakefield 4 Mens,City of York 7 Mens
2018-02-03,Wakefield 4 Mens,Bradford 3 Mens
2018-02-24,Wakefield 4 Mens,Mirfield 1 Mens
2018-03-10,Wakefield 4 Mens,Scarborough 1 Mens
2018-03-17,Wakefield 4 Mens,Bradford 2 Mens
2017-09-30,Wakefield 5 Ladies,University of Leeds 7 Ladies
2017-10-07,Wakefield 5 Ladies,University of Leeds 8 Ladies
2017-10-21,Wakefield 5 Ladies,Sheffield Hallam 4 Ladies
2017-11-04,Wakefield 5 Ladies,Chapeltown 3 Ladies
2017-11-18,Wakefield 5 Ladies,Halifax 5 Ladies
2018-01-06,Wakefield 5 Ladies,Doncaster 4 Ladies
2018-01-13,Wakefield 5 Ladies,Leeds Adel 5 Ladies
2018-02-03,Wakefield 5 Ladies,Slazengers 4 Ladies
2018-02-24,Wakefield 5 Ladies,Epworth 1 Ladies
2018-03-10,Wakefield 5 Ladies,Huddersfield Dragons 3 Ladies
2017-09-23,Wakefield 5 Mens,Wakefield 6 Mens
2017-09-30,Wakefield 5 Mens,Leodis Leeds 1 Mens
2017-10-14,Wakefield 5 Mens,Doncaster 6 Mens
2017-10-28,Wakefield 5 Mens,Leeds 8 Mens
2017-11-11,Wakefield 5 Mens,Grimsby 2 Mens
2017-11-25,Wakefield 5 Mens,Kingston-upon-Hull 3 Mens
2017-12-09,Wakefield 5 Mens,University of Leeds 2 Mens
2018-01-06,Wakefield 5 Mens,Brigg 4 Mens
2018-01-20,Wakefield 5 Mens,Lindum 6 Mens
