2018-01-27,15:00:00,Green
2018-01-27,16:30:00,Blue
2018-01-27,16:30:00,Green
2018-02-03,10:00:00,Blue
2018-02-03,10:30:00,Green
2018-02-03,12:00:00,Blue
2018-02-03,12:00:00,Green
2018-02-03,13:30:00,Blue
2018-02-03,13:30:00,Green
2018-02-03,15:00:00,Blue
2018-02-03,15:00:00,Green
2018-02-03,16:30:00,Blue
2018-02-03,16:30:00,Green
2018-02-10,10:00:00,Blue
2018-02-10,10:30:00,Green
2018-02-10,12:00:00,Blue
2018-02-10,12:00:00,Green
2018-02-10,13:30:00,Blue
2018-02-10,13:30:00,Green
2018-02-10,15:00:00,Blue
2018-02-10,15:00:00,Green
2018-02-10,16:30:00,Blue
2018-02-10,16:30:00,Green
2018-02-17,10:00:00,Blue
2018-02-17,10:30:00,Green
2018-02-17,12:00:00,Blue
2018-02-17,12:00:00,Green
2018-02-17,13:30:00,Blue
2018-02-17,13:30:00,Green
2018-02-17,15:00:00,Blue
2018-02-17,15:00:00,Green
2018-02-17,16:30:00,Blue
2018-02-17,16:30:00,Green
2018-02-24,10:00:00,Blue
2018-02-24,10:30:00,Green
2018-02-24,12:00:00,Blue
2018-02-24,12:00:00,Green
2018-02-24,13:30:00,Blue
2018-02-24,13:30:00,Green
2018-02-24,15:00:00,Blue
2018-02-24,15:00:00,Green
2018-02-24,16:30:00,Blue
2018-02-24,16:30:00,Green
2018-03-03,10:00:00,Blue
2018-03-03,10:30:00,Green
2018-03-03,12:00:00,Blue
2018-03-03,12:00:00,Green
2018-03-03,13:30:00,Blue
2018-03-03,13:30:00,Green
2018-03-03,15:00:00,Blue
2018-03-03,15:00:00,Green
2018-03-03,16:30:00,Blue
2018-03-03,16:30:00,Green
2018-03-10,10:00:00,Blue
2018-03-10,10:30:00,Green
2018-03-10,12:00:00,Blue
2018-03-10,12:00:00,Green
2018-03-10,13:30:00,Blue
2018-03-10,13:30:00,Green
2018-03-10,15:00:00,Blue
2018-03-10,15:00:00,Green
2018-03-10,16:30:00,Blue
2018-03-10,16:30:00,Green
2018-03-17,10:00:00,Blue
2018-03-17,10:30:00,Green
2018-03-17,12:00:00,Blue
2018-03-17,12:00:00,Green
2018-03-17,13:30:00,Blue
2018-03-17,13:30:00,Green
2018-03-17,15:00:00,Blue
2018-03-17,15:00:00,Green
2018-03-17,16:30:00,Blue
2018-03-17,16:30:00,Green
2018-03-24,12:00:00,Blue
