B1,0,10:00:00,10:00:00,1,F,2017-11-11
B2,0,11:30:00,11:30:00,2,M,2017-11-11
B3,1,13:30:00,13:00:00,6,F,2017-11-11
B4,0,15:00:00,15:00:00,3,M,2017-11-11
B5,0,16:30:00,16:30:00,0,F,2017-11-11
G1,0,10:00:00,10:00:00,1,M,2017-11-11
G2,0,11:30:00,11:30:00,2,F,2017-11-11
G3,0,13:00:00,13:00:00,4,M,2017-11-11
G4,1,15:00:00,14:30:00,3,F,2017-11-11
G5,0,16:30:00,16:30:00,0,M,2017-11-11
B1,0,10:00:00,10:00:00,1,F,2017-11-18
B2,0,11:30:00,11:30:00,2,M,2017-11-18
B3,1,13:30:00,13:00:00,6,F,2017-11-18
B4,0,15:00:00,15:00:00,3,M,2017-11-18
B5,0,16:30:00,16:30:00,0,F,2017-11-18
G1,0,10:00:00,10:00:00,1,M,2017-11-18
G2,0,11:30:00,11:30:00,2,F,2017-11-18
G3,0,13:00:00,13:00:00,4,M,2017-11-18
G4,1,15:00:00,14:30:00,3,F,2017-11-18
G5,0,16:30:00,16:30:00,0,M,2017-11-18
B1,0,10:00:00,10:00:00,1,F,2017-11-25
B2,0,11:30:00,11:30:00,2,M,2017-11-25
B3,1,13:30:00,13:00:00,6,F,2017-11-25
B4,0,15:00:00,15:00:00,3,M,2017-11-25
B5,0,16:30:00,16:30:00,0,F,2017-11-25
G1,0,10:00:00,10:00:00,1,M,2017-11-25
G2,0,11:30:00,11:30:00,2,F,2017-11-25
G3,0,13:00:00,13:00:00,4,M,2017-11-25
G4,1,15:00:00,14:30:00,3,F,2017-11-25
G5,0,16:30:00,16:30:00,0,M,2017-11-25
B1,0,10:00:00,10:00:00,1,F,2017-12-02
B2,0,11:30:00,11:30:00,2,M,2017-12-02
B3,1,13:30:00,13:00:00,6,F,2017-12-02
B4,0,15:00:00,15:00:00,3,M,2017-12-02
B5,0,16:30:00,16:30:00,0,F,2017-12-02
G1,0,10:00:00,10:00:00,1,M,2017-12-02
